"","sub","rotation","imagename","match","imgID","block","correct","response_time","log_RT"
"1",1,0,"054_Schrank_Bueroschrank","match",54,1,1,1344,7.20340552108309
"2",1,60,"013_Blume_Rosen","mismatch",13,1,1,937,6.84268328223842
"3",1,240,"044_Lampe_Tischleuchte","mismatch",44,1,1,3202,8.07153089355666
"4",1,300,"065_Sofa_Zweiersofa","match",65,1,1,651,6.47850964220857
"5",1,60,"066_Stuhl_Barstuhl","mismatch",66,1,1,1425,7.26192709270275
"6",1,60,"072_Sessel_Ledersessel","match",72,1,1,1342,7.20191631753163
"7",1,240,"067_Stuhl_Buerostuhl","match",67,1,1,851,6.74641212857337
"8",1,300,"023_Glas_Sektglas","match",23,1,1,591,6.3818160174061
"9",1,120,"092_Boot_Ruderboot","match",92,1,1,732,6.59578051396131
"10",1,60,"011_Blume_Kaktus","mismatch",11,1,1,1026,6.93342302573071
"11",1,240,"093_Boot_Kanu","match",93,1,1,648,6.47389069635227
"12",1,300,"033_Kopfhoerer_Muschelkopfhoerer","mismatch",33,1,1,830,6.72142570079064
"13",1,0,"095_Boot_Kreuzfahrtschiff","match",95,1,1,626,6.4393503711001
"14",1,300,"001_Baum_Bonsai","mismatch",1,1,1,1074,6.97914527506881
"15",1,180,"074_Telefon_Smartphone","mismatch",74,1,1,1271,7.14755927118945
"16",1,60,"088_Flugzeug_Kampfflieger","mismatch",88,1,1,654,6.4831073514572
"17",1,180,"048_Nuss_Mandel","mismatch",48,1,1,1885,7.54168309988211
"18",1,240,"059_Sitzbank_Holzbank_ohne_Lehne","match",59,1,1,725,6.58617165485467
"19",1,120,"086_Auto_Polizeiauto","mismatch",86,1,1,807,6.69332366826995
"20",1,180,"064_Sofa_Ledersofa","mismatch",64,1,1,2161,7.67832635650689
"21",1,60,"050_Nuss_Wallnuss","match",50,1,1,787,6.6682282484174
"22",1,60,"017_Computer_PC","match",17,1,1,1251,7.13169851046691
"23",1,60,"053_Regal_Wandregal","match",53,1,1,1160,7.05617528410041
"24",1,120,"002_Baum_Palme","match",2,1,1,625,6.4377516497364
"25",1,300,"003_Baum_Tanne","mismatch",3,1,1,944,6.8501261661455
