"","X","acc","accuracy","average_response_time","avg_rt","background","basic","bidi","block","canvas_backend","clock_backend","color_backend","compensation","coordinates","correct","correct_Instructions","correct_Respond","correct_Respond0","correct_end_of_practice","correct_response","count_Blank","count_Blank0","count_Cue","count_Cue0","count_Experiment","count_Feedback","count_Feedback0","count_Fix","count_Fix0","count_Instructions","count_Logg","count_Respond","count_Respond0","count_Show","count_Show0","count_end_of_experiment","count_end_of_practice","count_experimental_loop","count_experimental_trials","count_new_sketchpad","count_new_sketchpad_1","count_new_sketchpad_2","count_new_sketchpad_3","count_new_sketchpad_4","count_practice_loop","count_practice_trials","count_read_table","count_trial_list","cue","datetime","description","disable_garbage_collection","experiment_file","experiment_path","font_bold","font_family","font_italic","font_size","font_underline","foreground","form_clicks","fullscreen","height","image","imagename","imgID","imgName","keyboard_backend","live_row","live_row_experimental_loop","live_row_practice_loop","logfile","match","matching","mouse_backend","movable","num","opensesame_codename","opensesame_version","practice","repeat_cycle","response","response_Instructions","response_Respond","response_Respond0","response_end_of_experiment","response_end_of_practice","response_new_sketchpad","response_new_sketchpad_1","response_new_sketchpad_2","response_new_sketchpad_3","response_new_sketchpad_4","response_time","response_time_Instructions","response_time_Respond","response_time_Respond0","response_time_end_of_experiment","response_time_end_of_practice","response_time_new_sketchpad","response_time_new_sketchpad_1","response_time_new_sketchpad_2","response_time_new_sketchpad_3","response_time_new_sketchpad_4","rotation","round_decimals","sampler_backend","sound_buf_size","sound_channels","sound_freq","sound_sample_size","start","sub","subject_nr","subject_parity","subordinate","superordinate","time_Blank","time_Blank0","time_Cue","time_Cue0","time_Experiment","time_Feedback","time_Feedback0","time_Fix","time_Fix0","time_Instructions","time_Logg","time_Respond","time_Respond0","time_Show","time_Show0","time_end_of_experiment","time_end_of_practice","time_experimental_loop","time_experimental_trials","time_new_sketchpad","time_new_sketchpad_1","time_new_sketchpad_2","time_new_sketchpad_3","time_new_sketchpad_4","time_practice_loop","time_practice_trials","time_read_table","time_trial_list","title","total_correct","total_response_time","total_responses","trial","trialNum","uniform_coordinates","width"
"1",1,100,100,581.5,581.5,"#7d7d7d","Telefon","no",1,"legacy","legacy","legacy",0,"uniform",1,"undefined",1,1,0,"m",0,2,0,2,0,0,2,0,2,0,0,0,2,0,2,0,0,0,0,NA,NA,NA,NA,NA,0,2,0,0,"Sitzbank","03/24/18 17:22:40","The main experiment item","yes","ViewpointInvarianceExp1.osexp","C:\Users\Admin\Desktop\ViewpointInvarianceExp1_Kallmayer","no","mono","no",18,"no","white","no","yes",768,"Hammer","074_Telefon_Smartphone",74,"074_Telefon_Smartphone_240","legacy",0,0,2,"C:/Users/Admin/Desktop/ViewpointInvarianceExp1_Kallmayer/Rohdaten/10.csv","mismatch","mismatch","legacy",1,74,"Jazzy James","3.1.6","no",0,"m","space","m","m",NA,"space",NA,NA,NA,NA,NA,783,169281,783,506,NA,55320,NA,NA,NA,NA,NA,240,2,"legacy",1024,2,48000,-16,"Experiment",10,10,"even","Smartphone","Geraet",237317,178931,235816,177430,1440,NA,NA,235315,176929,1441,238602,237818,179432,237818,179432,NA,179945,235266,235314,NA,NA,NA,NA,NA,170723,176927,1440,235314,"ViewpointInvarianceExp1",4,2326,4,0,1,"yes",1024
"2",2,100,100,644,644,"#7d7d7d","Ventilator","no",1,"legacy","legacy","legacy",0,"uniform",1,"undefined",1,1,0,"c",1,2,1,2,0,1,2,1,2,0,1,1,2,1,2,0,0,0,1,NA,NA,NA,NA,NA,0,2,0,1,"Ventilator","03/24/18 17:22:40","The main experiment item","yes","ViewpointInvarianceExp1.osexp","C:\Users\Admin\Desktop\ViewpointInvarianceExp1_Kallmayer","no","mono","no",18,"no","white","no","yes",768,"Hammer","084_Ventilator_Tischventilator",84,"084_Ventilator_Tischventilator_120","legacy",1,1,2,"C:/Users/Admin/Desktop/ViewpointInvarianceExp1_Kallmayer/Rohdaten/10.csv","match","mismatch","legacy",1,84,"Jazzy James","3.1.6","no",0,"c","space","c","m",NA,"space",NA,NA,NA,NA,NA,894,169281,894,506,NA,55320,NA,NA,NA,NA,NA,120,2,"legacy",1024,2,48000,-16,"Experiment",10,10,"even","Tischventilator","Geraet",240727,178931,239226,177430,1440,NA,NA,238725,176929,1441,242122,241228,179432,241228,179432,NA,179945,235266,238724,NA,NA,NA,NA,NA,170723,176927,1440,238724,"ViewpointInvarianceExp1",5,3220,5,1,2,"yes",1024
"3",3,100,100,665.333333333,665.333333333,"#7d7d7d","Stuhl","no",1,"legacy","legacy","legacy",0,"uniform",1,"undefined",1,1,0,"c",2,2,2,2,0,2,2,2,2,0,2,2,2,2,2,0,0,0,2,NA,NA,NA,NA,NA,0,2,0,2,"Stuhl","03/24/18 17:22:40","The main experiment item","yes","ViewpointInvarianceExp1.osexp","C:\Users\Admin\Desktop\ViewpointInvarianceExp1_Kallmayer","no","mono","no",18,"no","white","no","yes",768,"Hammer","071_Stuhl_Schreibtischstuhl",71,"071_Stuhl_Schreibtischstuhl_240","legacy",2,2,2,"C:/Users/Admin/Desktop/ViewpointInvarianceExp1_Kallmayer/Rohdaten/10.csv","match","mismatch","legacy",1,71,"Jazzy James","3.1.6","no",0,"c","space","c","m",NA,"space",NA,NA,NA,NA,NA,772,169281,772,506,NA,55320,NA,NA,NA,NA,NA,240,2,"legacy",1024,2,48000,-16,"Experiment",10,10,"even","Schreibtischstuhl","Moebel",244209,178931,242708,177430,1440,NA,NA,242206,176929,1441,245482,244710,179432,244710,179432,NA,179945,235266,242205,NA,NA,NA,NA,NA,170723,176927,1440,242205,"ViewpointInvarianceExp1",6,3992,6,2,3,"yes",1024
"4",4,100,100,670.142857143,670.142857143,"#7d7d7d","Drucker","no",1,"legacy","legacy","legacy",0,"uniform",1,"undefined",1,1,0,"c",3,2,3,2,0,3,2,3,2,0,3,3,2,3,2,0,0,0,3,NA,NA,NA,NA,NA,0,2,0,3,"Drucker","03/24/18 17:22:40","The main experiment item","yes","ViewpointInvarianceExp1.osexp","C:\Users\Admin\Desktop\ViewpointInvarianceExp1_Kallmayer","no","mono","no",18,"no","white","no","yes",768,"Hammer","020_Drucker_Multifunktionsdrucker",20,"020_Drucker_Multifunktionsdrucker_300","legacy",3,3,2,"C:/Users/Admin/Desktop/ViewpointInvarianceExp1_Kallmayer/Rohdaten/10.csv","match","mismatch","legacy",0,20,"Jazzy James","3.1.6","no",0,"c","space","c","m",NA,"space",NA,NA,NA,NA,NA,699,169281,699,506,NA,55320,NA,NA,NA,NA,NA,300,2,"legacy",1024,2,48000,-16,"Experiment",10,10,"even","Multifunktionsdrucker","Geraet",247601,178931,246100,177430,1440,NA,NA,245599,176929,1441,248802,248102,179432,248102,179432,NA,179945,235266,245597,NA,NA,NA,NA,NA,170723,176927,1440,245597,"ViewpointInvarianceExp1",7,4691,7,3,4,"yes",1024
"5",5,100,100,646.875,646.875,"#7d7d7d","Auto","no",1,"legacy","legacy","legacy",0,"uniform",1,"undefined",1,1,0,"m",4,2,4,2,0,4,2,4,2,0,4,4,2,4,2,0,0,0,4,NA,NA,NA,NA,NA,0,2,0,4,"Regal","03/24/18 17:22:40","The main experiment item","yes","ViewpointInvarianceExp1.osexp","C:\Users\Admin\Desktop\ViewpointInvarianceExp1_Kallmayer","no","mono","no",18,"no","white","no","yes",768,"Hammer","096_Auto_Oldtimer",96,"096_Auto_Oldtimer_60","legacy",4,4,2,"C:/Users/Admin/Desktop/ViewpointInvarianceExp1_Kallmayer/Rohdaten/10.csv","mismatch","mismatch","legacy",0,96,"Jazzy James","3.1.6","no",0,"m","space","m","m",NA,"space",NA,NA,NA,NA,NA,484,169281,484,506,NA,55320,NA,NA,NA,NA,NA,60,2,"legacy",1024,2,48000,-16,"Experiment",10,10,"even","Oldtimer","Fahrzeug",250912,178931,249411,177430,1440,NA,NA,248910,176929,1441,251898,251413,179432,251413,179432,NA,179945,235266,248909,NA,NA,NA,NA,NA,170723,176927,1440,248909,"ViewpointInvarianceExp1",8,5175,8,4,5,"yes",1024
"6",6,100,100,697.888888889,697.888888889,"#7d7d7d","Tisch","no",1,"legacy","legacy","legacy",0,"uniform",1,"undefined",1,1,0,"c",5,2,5,2,0,5,2,5,2,0,5,5,2,5,2,0,0,0,5,NA,NA,NA,NA,NA,0,2,0,5,"Tisch","03/24/18 17:22:40","The main experiment item","yes","ViewpointInvarianceExp1.osexp","C:\Users\Admin\Desktop\ViewpointInvarianceExp1_Kallmayer","no","mono","no",18,"no","white","no","yes",768,"Hammer","076_Tisch_Holztisch",76,"076_Tisch_Holztisch_120","legacy",5,5,2,"C:/Users/Admin/Desktop/ViewpointInvarianceExp1_Kallmayer/Rohdaten/10.csv","match","mismatch","legacy",0,76,"Jazzy James","3.1.6","no",0,"c","space","c","m",NA,"space",NA,NA,NA,NA,NA,1106,169281,1106,506,NA,55320,NA,NA,NA,NA,NA,120,2,"legacy",1024,2,48000,-16,"Experiment",10,10,"even","Holztisch","Moebel",254018,178931,252517,177430,1440,NA,NA,252016,176929,1441,255625,254519,179432,254519,179432,NA,179945,235266,252015,NA,NA,NA,NA,NA,170723,176927,1440,252015,"ViewpointInvarianceExp1",9,6281,9,5,6,"yes",1024
"7",7,100,100,708.5,708.5,"#7d7d7d","Lampe","no",1,"legacy","legacy","legacy",0,"uniform",1,"undefined",1,1,0,"m",6,2,6,2,0,6,2,6,2,0,6,6,2,6,2,0,0,0,6,NA,NA,NA,NA,NA,0,2,0,6,"Regal","03/24/18 17:22:40","The main experiment item","yes","ViewpointInvarianceExp1.osexp","C:\Users\Admin\Desktop\ViewpointInvarianceExp1_Kallmayer","no","mono","no",18,"no","white","no","yes",768,"Hammer","044_Lampe_Tischleuchte",44,"044_Lampe_Tischleuchte_180","legacy",6,6,2,"C:/Users/Admin/Desktop/ViewpointInvarianceExp1_Kallmayer/Rohdaten/10.csv","mismatch","mismatch","legacy",1,44,"Jazzy James","3.1.6","no",0,"m","space","m","m",NA,"space",NA,NA,NA,NA,NA,804,169281,804,506,NA,55320,NA,NA,NA,NA,NA,180,2,"legacy",1024,2,48000,-16,"Experiment",10,10,"even","Tischleuchte","Geraet",257736,178931,256235,177430,1440,NA,NA,255734,176929,1441,259042,258237,179432,258237,179432,NA,179945,235266,255732,NA,NA,NA,NA,NA,170723,176927,1440,255732,"ViewpointInvarianceExp1",10,7085,10,6,7,"yes",1024
"8",8,100,100,883.818181818,883.818181818,"#7d7d7d","Tisch","no",1,"legacy","legacy","legacy",0,"uniform",1,"undefined",1,1,0,"c",7,2,7,2,0,7,2,7,2,0,7,7,2,7,2,0,0,0,7,NA,NA,NA,NA,NA,0,2,0,7,"Tisch","03/24/18 17:22:40","The main experiment item","yes","ViewpointInvarianceExp1.osexp","C:\Users\Admin\Desktop\ViewpointInvarianceExp1_Kallmayer","no","mono","no",18,"no","white","no","yes",768,"Hammer","078_Tisch_Sofatisch",78,"078_Tisch_Sofatisch_240","legacy",7,7,2,"C:/Users/Admin/Desktop/ViewpointInvarianceExp1_Kallmayer/Rohdaten/10.csv","match","mismatch","legacy",0,78,"Jazzy James","3.1.6","no",0,"c","space","c","m",NA,"space",NA,NA,NA,NA,NA,2637,169281,2637,506,NA,55320,NA,NA,NA,NA,NA,240,2,"legacy",1024,2,48000,-16,"Experiment",10,10,"even","Sofatisch","Moebel",261159,178931,259658,177430,1440,NA,NA,259157,176929,1441,264297,261660,179432,261660,179432,NA,179945,235266,259156,NA,NA,NA,NA,NA,170723,176927,1440,259156,"ViewpointInvarianceExp1",11,9722,11,7,8,"yes",1024
"9",9,100,100,882,882,"#7d7d7d","Kopfhoerer","no",1,"legacy","legacy","legacy",0,"uniform",1,"undefined",1,1,0,"c",8,2,8,2,0,8,2,8,2,0,8,8,2,8,2,0,0,0,8,NA,NA,NA,NA,NA,0,2,0,8,"Kopfhoerer","03/24/18 17:22:40","The main experiment item","yes","ViewpointInvarianceExp1.osexp","C:\Users\Admin\Desktop\ViewpointInvarianceExp1_Kallmayer","no","mono","no",18,"no","white","no","yes",768,"Hammer","032_Kopfhoerer_Earbudohrhoerer",32,"032_Kopfhoerer_Earbudohrhoerer_0","legacy",8,8,2,"C:/Users/Admin/Desktop/ViewpointInvarianceExp1_Kallmayer/Rohdaten/10.csv","match","mismatch","legacy",1,32,"Jazzy James","3.1.6","no",0,"c","space","c","m",NA,"space",NA,NA,NA,NA,NA,862,169281,862,506,NA,55320,NA,NA,NA,NA,NA,0,2,"legacy",1024,2,48000,-16,"Experiment",10,10,"even","Eardbudohrhoerer","Geraet",266382,178931,264881,177430,1440,NA,NA,264380,176929,1441,267746,266883,179432,266883,179432,NA,179945,235266,264379,NA,NA,NA,NA,NA,170723,176927,1440,264379,"ViewpointInvarianceExp1",12,10584,12,8,9,"yes",1024
"10",10,100,100,888.538461538,888.538461538,"#7d7d7d","Boot","no",1,"legacy","legacy","legacy",0,"uniform",1,"undefined",1,1,0,"m",9,2,9,2,0,9,2,9,2,0,9,9,2,9,2,0,0,0,9,NA,NA,NA,NA,NA,0,2,0,9,"Telefon","03/24/18 17:22:40","The main experiment item","yes","ViewpointInvarianceExp1.osexp","C:\Users\Admin\Desktop\ViewpointInvarianceExp1_Kallmayer","no","mono","no",18,"no","white","no","yes",768,"Hammer","092_Boot_Ruderboot",92,"092_Boot_Ruderboot_180","legacy",9,9,2,"C:/Users/Admin/Desktop/ViewpointInvarianceExp1_Kallmayer/Rohdaten/10.csv","mismatch","mismatch","legacy",1,92,"Jazzy James","3.1.6","no",0,"m","space","m","m",NA,"space",NA,NA,NA,NA,NA,967,169281,967,506,NA,55320,NA,NA,NA,NA,NA,180,2,"legacy",1024,2,48000,-16,"Experiment",10,10,"even","Ruderboot","Fahrzeug",269862,178931,268361,177430,1440,NA,NA,267860,176929,1441,271330,270363,179432,270363,179432,NA,179945,235266,267859,NA,NA,NA,NA,NA,170723,176927,1440,267859,"ViewpointInvarianceExp1",13,11551,13,9,10,"yes",1024
