"","X","acc","accuracy","average_response_time","avg_rt","background","basic","bidi","block","canvas_backend","clock_backend","color_backend","compensation","coordinates","correct","correct_Instructions","correct_Respond","correct_Respond0","correct_end_of_practice","correct_response","count_Blank","count_Blank0","count_Cue","count_Cue0","count_Experiment","count_Feedback","count_Feedback0","count_Fix","count_Fix0","count_Instructions","count_Logg","count_Respond","count_Respond0","count_Show","count_Show0","count_end_of_experiment","count_end_of_practice","count_experimental_loop","count_experimental_trials","count_new_sketchpad","count_new_sketchpad_1","count_new_sketchpad_2","count_new_sketchpad_3","count_new_sketchpad_4","count_practice_loop","count_practice_trials","count_read_table","count_trial_list","cue","datetime","description","disable_garbage_collection","experiment_file","experiment_path","font_bold","font_family","font_italic","font_size","font_underline","foreground","form_clicks","fullscreen","height","image","imagename","imgID","imgName","keyboard_backend","live_row","live_row_experimental_loop","live_row_practice_loop","logfile","match","matching","mouse_backend","movable","num","opensesame_codename","opensesame_version","practice","repeat_cycle","response","response_Instructions","response_Respond","response_Respond0","response_end_of_experiment","response_end_of_practice","response_new_sketchpad","response_new_sketchpad_1","response_new_sketchpad_2","response_new_sketchpad_3","response_new_sketchpad_4","response_time","response_time_Instructions","response_time_Respond","response_time_Respond0","response_time_end_of_experiment","response_time_end_of_practice","response_time_new_sketchpad","response_time_new_sketchpad_1","response_time_new_sketchpad_2","response_time_new_sketchpad_3","response_time_new_sketchpad_4","rotation","round_decimals","sampler_backend","sound_buf_size","sound_channels","sound_freq","sound_sample_size","start","sub","subject_nr","subject_parity","subordinate","superordinate","time_Blank","time_Blank0","time_Cue","time_Cue0","time_Experiment","time_Feedback","time_Feedback0","time_Fix","time_Fix0","time_Instructions","time_Logg","time_Respond","time_Respond0","time_Show","time_Show0","time_end_of_experiment","time_end_of_practice","time_experimental_loop","time_experimental_trials","time_new_sketchpad","time_new_sketchpad_1","time_new_sketchpad_2","time_new_sketchpad_3","time_new_sketchpad_4","time_practice_loop","time_practice_trials","time_read_table","time_trial_list","title","total_correct","total_response_time","total_responses","trial","trialNum","uniform_coordinates","width"
"1",1,50,50,2758,2758,"#7d7d7d","Ventilator","no",1,"legacy","legacy","legacy",0,"uniform",0,"undefined",0,1,0,"m",0,2,0,2,0,0,2,0,2,0,0,0,2,0,2,0,0,0,0,NA,NA,NA,NA,NA,0,2,0,0,"Boot","03/21/18 18:03:01","The main experiment item","yes","ViewpointInvarianceExp1.osexp","C:\Users\Admin\Desktop\ViewpointInvarianceExp1_Kallmayer","no","mono","no",18,"no","white","no","yes",768,"Hammer","083_Ventilator_Standventilator",83,"083_Ventilator_Standventilator_0","legacy",0,0,2,"C:/Users/Admin/Desktop/ViewpointInvarianceExp1_Kallmayer/Rohdaten/04.csv","mismatch","mismatch","legacy",0,83,"Jazzy James","3.1.6","no",0,"c","space","c","m",NA,"space",NA,NA,NA,NA,NA,2624,72645,2624,1258,NA,78816,NA,NA,NA,NA,NA,0,2,"legacy",1024,2,48000,-16,"Experiment",4,4,"even","Standventilator","Geraet",171987,89339,170486,87838,1580,175114,81783,169985,87336,1581,175864,172488,89840,172488,89840,NA,91105,169921,169984,NA,NA,NA,NA,NA,74226,87335,1580,169984,"ViewpointInvarianceExp1",2,11032,4,0,1,"yes",1024
"2",2,60,60,2675,2675,"#7d7d7d","Baum","no",1,"legacy","legacy","legacy",0,"uniform",1,"undefined",1,1,0,"m",1,2,1,2,0,1,2,1,2,0,1,1,2,1,2,0,0,0,1,NA,NA,NA,NA,NA,0,2,0,1,"Schrank","03/21/18 18:03:01","The main experiment item","yes","ViewpointInvarianceExp1.osexp","C:\Users\Admin\Desktop\ViewpointInvarianceExp1_Kallmayer","no","mono","no",18,"no","white","no","yes",768,"Hammer","001_Baum_Bonsai",1,"001_Baum_Bonsai_180","legacy",1,1,2,"C:/Users/Admin/Desktop/ViewpointInvarianceExp1_Kallmayer/Rohdaten/04.csv","mismatch","mismatch","legacy",0,1,"Jazzy James","3.1.6","no",0,"m","space","m","m",NA,"space",NA,NA,NA,NA,NA,2343,72645,2343,1258,NA,78816,NA,NA,NA,NA,NA,180,2,"legacy",1024,2,48000,-16,"Experiment",4,4,"even","Bonsai","Pflanze",178060,89339,176559,87838,1580,175114,81783,176057,87336,1581,180905,178561,89840,178561,89840,NA,91105,169921,176056,NA,NA,NA,NA,NA,74226,87335,1580,176056,"ViewpointInvarianceExp1",3,13375,5,1,2,"yes",1024
"3",3,66.6666666667,66.6666666667,2383.16666667,2383.16666667,"#7d7d7d","Computer","no",1,"legacy","legacy","legacy",0,"uniform",1,"undefined",1,1,0,"c",2,2,2,2,0,2,2,2,2,0,2,2,2,2,2,0,0,0,2,NA,NA,NA,NA,NA,0,2,0,2,"Computer","03/21/18 18:03:01","The main experiment item","yes","ViewpointInvarianceExp1.osexp","C:\Users\Admin\Desktop\ViewpointInvarianceExp1_Kallmayer","no","mono","no",18,"no","white","no","yes",768,"Hammer","018_Computer_Tablet",18,"018_Computer_Tablet_300","legacy",2,2,2,"C:/Users/Admin/Desktop/ViewpointInvarianceExp1_Kallmayer/Rohdaten/04.csv","match","mismatch","legacy",1,18,"Jazzy James","3.1.6","no",0,"c","space","c","m",NA,"space",NA,NA,NA,NA,NA,924,72645,924,1258,NA,78816,NA,NA,NA,NA,NA,300,2,"legacy",1024,2,48000,-16,"Experiment",4,4,"even","Tablet","Geraet",183031,89339,181530,87838,1580,175114,81783,181029,87336,1581,184457,183532,89840,183532,89840,NA,91105,169921,181027,NA,NA,NA,NA,NA,74226,87335,1580,181028,"ViewpointInvarianceExp1",4,14299,6,2,3,"yes",1024
"4",4,71.4285714286,71.4285714286,2191.57142857,2191.57142857,"#7d7d7d","Sofa","no",1,"legacy","legacy","legacy",0,"uniform",1,"undefined",1,1,0,"c",3,2,3,2,0,3,2,3,2,0,3,3,2,3,2,0,0,0,3,NA,NA,NA,NA,NA,0,2,0,3,"Sofa","03/21/18 18:03:01","The main experiment item","yes","ViewpointInvarianceExp1.osexp","C:\Users\Admin\Desktop\ViewpointInvarianceExp1_Kallmayer","no","mono","no",18,"no","white","no","yes",768,"Hammer","062_Sofa_Dreiersofa",62,"062_Sofa_Dreiersofa_300","legacy",3,3,2,"C:/Users/Admin/Desktop/ViewpointInvarianceExp1_Kallmayer/Rohdaten/04.csv","match","mismatch","legacy",0,62,"Jazzy James","3.1.6","no",0,"c","space","c","m",NA,"space",NA,NA,NA,NA,NA,1042,72645,1042,1258,NA,78816,NA,NA,NA,NA,NA,300,2,"legacy",1024,2,48000,-16,"Experiment",4,4,"even","Dreiersofa","Moebel",186585,89339,185084,87838,1580,175114,81783,184583,87336,1581,188129,187086,89840,187086,89840,NA,91105,169921,184581,NA,NA,NA,NA,NA,74226,87335,1580,184581,"ViewpointInvarianceExp1",5,15341,7,3,4,"yes",1024
"5",5,75,75,2031.125,2031.125,"#7d7d7d","Auto","no",1,"legacy","legacy","legacy",0,"uniform",1,"undefined",1,1,0,"m",4,2,4,2,0,4,2,4,2,0,4,4,2,4,2,0,0,0,4,NA,NA,NA,NA,NA,0,2,0,4,"Schrank","03/21/18 18:03:01","The main experiment item","yes","ViewpointInvarianceExp1.osexp","C:\Users\Admin\Desktop\ViewpointInvarianceExp1_Kallmayer","no","mono","no",18,"no","white","no","yes",768,"Hammer","086_Auto_Polizeiauto",86,"086_Auto_Polizeiauto_0","legacy",4,4,2,"C:/Users/Admin/Desktop/ViewpointInvarianceExp1_Kallmayer/Rohdaten/04.csv","mismatch","mismatch","legacy",0,86,"Jazzy James","3.1.6","no",0,"m","space","m","m",NA,"space",NA,NA,NA,NA,NA,908,72645,908,1258,NA,78816,NA,NA,NA,NA,NA,0,2,"legacy",1024,2,48000,-16,"Experiment",4,4,"even","Polizeiauto","Fahrzeug",190215,89339,188714,87838,1580,175114,81783,188213,87336,1581,191625,190716,89840,190716,89840,NA,91105,169921,188212,NA,NA,NA,NA,NA,74226,87335,1580,188212,"ViewpointInvarianceExp1",6,16249,8,4,5,"yes",1024
"6",6,77.7777777778,77.7777777778,1898,1898,"#7d7d7d","Sofa","no",1,"legacy","legacy","legacy",0,"uniform",1,"undefined",1,1,0,"c",5,2,5,2,0,5,2,5,2,0,5,5,2,5,2,0,0,0,5,NA,NA,NA,NA,NA,0,2,0,5,"Sofa","03/21/18 18:03:01","The main experiment item","yes","ViewpointInvarianceExp1.osexp","C:\Users\Admin\Desktop\ViewpointInvarianceExp1_Kallmayer","no","mono","no",18,"no","white","no","yes",768,"Hammer","065_Sofa_Zweiersofa",65,"065_Sofa_Zweiersofa_180","legacy",5,5,2,"C:/Users/Admin/Desktop/ViewpointInvarianceExp1_Kallmayer/Rohdaten/04.csv","match","mismatch","legacy",0,65,"Jazzy James","3.1.6","no",0,"c","space","c","m",NA,"space",NA,NA,NA,NA,NA,833,72645,833,1258,NA,78816,NA,NA,NA,NA,NA,180,2,"legacy",1024,2,48000,-16,"Experiment",4,4,"even","Zweiersofa","Moebel",193730,89339,192229,87838,1580,175114,81783,191728,87336,1581,195065,194231,89840,194231,89840,NA,91105,169921,191727,NA,NA,NA,NA,NA,74226,87335,1580,191727,"ViewpointInvarianceExp1",7,17082,9,5,6,"yes",1024
"7",7,80,80,1803.4,1803.4,"#7d7d7d","Wasserkocher","no",1,"legacy","legacy","legacy",0,"uniform",1,"undefined",1,1,0,"c",6,2,6,2,0,6,2,6,2,0,6,6,2,6,2,0,0,0,6,NA,NA,NA,NA,NA,0,2,0,6,"Wasserkocher","03/21/18 18:03:01","The main experiment item","yes","ViewpointInvarianceExp1.osexp","C:\Users\Admin\Desktop\ViewpointInvarianceExp1_Kallmayer","no","mono","no",18,"no","white","no","yes",768,"Hammer","028_Wasserkocher_retroWasserkocher",28,"028_Wasserkocher_retroWasserkocher_0","legacy",6,6,2,"C:/Users/Admin/Desktop/ViewpointInvarianceExp1_Kallmayer/Rohdaten/04.csv","match","mismatch","legacy",1,28,"Jazzy James","3.1.6","no",0,"c","space","c","m",NA,"space",NA,NA,NA,NA,NA,952,72645,952,1258,NA,78816,NA,NA,NA,NA,NA,0,2,"legacy",1024,2,48000,-16,"Experiment",4,4,"even","retro_Wasserkocher","Geraet",197203,89339,195702,87838,1580,175114,81783,195201,87336,1581,198656,197704,89840,197704,89840,NA,91105,169921,195200,NA,NA,NA,NA,NA,74226,87335,1580,195200,"ViewpointInvarianceExp1",8,18034,10,6,7,"yes",1024
"8",8,81.8181818182,81.8181818182,1708.72727273,1708.72727273,"#7d7d7d","Drucker","no",1,"legacy","legacy","legacy",0,"uniform",1,"undefined",1,1,0,"m",7,2,7,2,0,7,2,7,2,0,7,7,2,7,2,0,0,0,7,NA,NA,NA,NA,NA,0,2,0,7,"Eimer","03/21/18 18:03:01","The main experiment item","yes","ViewpointInvarianceExp1.osexp","C:\Users\Admin\Desktop\ViewpointInvarianceExp1_Kallmayer","no","mono","no",18,"no","white","no","yes",768,"Hammer","020_Drucker_Multifunktionsdrucker",20,"020_Drucker_Multifunktionsdrucker_180","legacy",7,7,2,"C:/Users/Admin/Desktop/ViewpointInvarianceExp1_Kallmayer/Rohdaten/04.csv","mismatch","mismatch","legacy",0,20,"Jazzy James","3.1.6","no",0,"m","space","m","m",NA,"space",NA,NA,NA,NA,NA,762,72645,762,1258,NA,78816,NA,NA,NA,NA,NA,180,2,"legacy",1024,2,48000,-16,"Experiment",4,4,"even","Multifunktionsdrucker","Geraet",200777,89339,199276,87838,1580,175114,81783,198775,87336,1581,202040,201278,89840,201278,89840,NA,91105,169921,198774,NA,NA,NA,NA,NA,74226,87335,1580,198774,"ViewpointInvarianceExp1",9,18796,11,7,8,"yes",1024
"9",9,83.3333333333,83.3333333333,1616.83333333,1616.83333333,"#7d7d7d","Besteck","no",1,"legacy","legacy","legacy",0,"uniform",1,"undefined",1,1,0,"c",8,2,8,2,0,8,2,8,2,0,8,8,2,8,2,0,0,0,8,NA,NA,NA,NA,NA,0,2,0,8,"Besteck","03/21/18 18:03:01","The main experiment item","yes","ViewpointInvarianceExp1.osexp","C:\Users\Admin\Desktop\ViewpointInvarianceExp1_Kallmayer","no","mono","no",18,"no","white","no","yes",768,"Hammer","046_Besteck_Messer",46,"046_Besteck_Messer_0","legacy",8,8,2,"C:/Users/Admin/Desktop/ViewpointInvarianceExp1_Kallmayer/Rohdaten/04.csv","match","mismatch","legacy",1,46,"Jazzy James","3.1.6","no",0,"c","space","c","m",NA,"space",NA,NA,NA,NA,NA,606,72645,606,1258,NA,78816,NA,NA,NA,NA,NA,0,2,"legacy",1024,2,48000,-16,"Experiment",4,4,"even","Messer","Werkzeug",204165,89339,202664,87838,1580,175114,81783,202163,87336,1581,205273,204666,89840,204666,89840,NA,91105,169921,202162,NA,NA,NA,NA,NA,74226,87335,1580,202162,"ViewpointInvarianceExp1",10,19402,12,8,9,"yes",1024
"10",10,84.6153846154,84.6153846154,1549.69230769,1549.69230769,"#7d7d7d","Besteck","no",1,"legacy","legacy","legacy",0,"uniform",1,"undefined",1,1,0,"c",9,2,9,2,0,9,2,9,2,0,9,9,2,9,2,0,0,0,9,NA,NA,NA,NA,NA,0,2,0,9,"Besteck","03/21/18 18:03:01","The main experiment item","yes","ViewpointInvarianceExp1.osexp","C:\Users\Admin\Desktop\ViewpointInvarianceExp1_Kallmayer","no","mono","no",18,"no","white","no","yes",768,"Hammer","097_Besteck_Gabel",97,"097_Besteck_Gabel_0","legacy",9,9,2,"C:/Users/Admin/Desktop/ViewpointInvarianceExp1_Kallmayer/Rohdaten/04.csv","match","mismatch","legacy",1,97,"Jazzy James","3.1.6","no",0,"c","space","c","m",NA,"space",NA,NA,NA,NA,NA,744,72645,744,1258,NA,78816,NA,NA,NA,NA,NA,0,2,"legacy",1024,2,48000,-16,"Experiment",4,4,"even","Gabel","Werkzeug",207387,89339,205886,87838,1580,175114,81783,205385,87336,1581,208632,207888,89840,207888,89840,NA,91105,169921,205383,NA,NA,NA,NA,NA,74226,87335,1580,205383,"ViewpointInvarianceExp1",11,20146,13,9,10,"yes",1024
