"","sub","rotation","imagename","match","imgID","movable","block","correct","response_time","inverse_RT","log_RT"
"1",13,180,"075_Tisch_Etagentisch","match",75,0,1,1,754,0.0013262599469496,6.62539236800796
"3",13,120,"022_Gitarre_Elektrogitarre","match",22,1,1,1,792,0.00126262626262626,6.67456139181443
"4",13,120,"078_Tisch_Sofatisch","mismatch",78,0,1,1,1502,0.00066577896138482,7.31455283232408
"5",13,180,"086_Auto_Polizeiauto","mismatch",86,0,1,1,892,0.00112107623318386,6.79346613258001
"6",13,0,"063_Sofa_Ecksofa","mismatch",63,0,1,1,766,0.00130548302872063,6.64118216974059
"7",13,120,"077_Tisch_Rundtisch","mismatch",77,0,1,1,730,0.00136986301369863,6.59304453414244
"8",13,240,"040_Lampe_Deckenlampe","match",40,0,1,1,896,0.00111607142857143,6.79794041297493
"9",13,300,"038_Toaster_2ScheibenToaster","mismatch",38,1,1,1,894,0.00111856823266219,6.79570577517351
"11",13,120,"070_Stuhl_Schalenstuhl","mismatch",70,1,1,1,979,0.00102145045965271,6.88653164253051
"12",13,180,"009_Bildschirm_Flachbildfernseher","mismatch",9,0,1,1,1723,0.000580383052814858,7.45182223652793
"13",13,240,"060_Sitzbank_Schaukelbank","mismatch",60,0,1,1,1452,0.00068870523415978,7.28069719538474
"14",13,60,"043_Lampe_Strassenlaterne","mismatch",43,0,1,1,1144,0.000874125874125874,7.04228617193974
"15",13,60,"099_Eimer_Wassereimer","mismatch",99,1,1,1,684,0.00146198830409357,6.52795791762255
"16",13,60,"048_Nuss_Mandel","match",48,1,1,1,903,0.00110741971207087,6.80572255341699
"17",13,0,"069_Stuhl_Rollstuhl","mismatch",69,1,1,1,1070,0.000934579439252336,6.97541392745595
"18",13,180,"095_Boot_Kreuzfahrtschiff","match",95,0,1,1,1494,0.000669344042838019,7.30921236569276
"19",13,240,"080_Uhr_Armbanduhr","match",80,1,1,1,1115,0.000896860986547085,7.01660968389422
"20",13,0,"008_Bildschirm_Desktop","mismatch",8,0,1,1,684,0.00146198830409357,6.52795791762255
"22",13,180,"051_Regal_Holzregal","mismatch",51,0,1,1,3108,0.000321750321750322,8.04173471148754
