"","sub","rotation","imagename","match","imgID","movable","block","correct","response_time"
"1",13,180,"075_Tisch_Etagentisch","match",75,0,1,1,754
"2",13,120,"073_Telefon_Schnurtelefon","match",73,1,1,0,550
"3",13,120,"022_Gitarre_Elektrogitarre","match",22,1,1,1,792
"4",13,120,"078_Tisch_Sofatisch","mismatch",78,0,1,1,1502
"5",13,180,"086_Auto_Polizeiauto","mismatch",86,0,1,1,892
"6",13,0,"063_Sofa_Ecksofa","mismatch",63,0,1,1,766
"7",13,120,"077_Tisch_Rundtisch","mismatch",77,0,1,1,730
"8",13,240,"040_Lampe_Deckenlampe","match",40,0,1,1,896
"9",13,300,"038_Toaster_2ScheibenToaster","mismatch",38,1,1,1,894
"10",13,0,"017_Computer_PC","match",17,0,1,0,2189
"11",13,120,"070_Stuhl_Schalenstuhl","mismatch",70,1,1,1,979
"12",13,180,"009_Bildschirm_Flachbildfernseher","mismatch",9,0,1,1,1723
"13",13,240,"060_Sitzbank_Schaukelbank","mismatch",60,0,1,1,1452
"14",13,60,"043_Lampe_Strassenlaterne","mismatch",43,0,1,1,1144
"15",13,60,"099_Eimer_Wassereimer","mismatch",99,1,1,1,684
"16",13,60,"048_Nuss_Mandel","match",48,1,1,1,903
"17",13,0,"069_Stuhl_Rollstuhl","mismatch",69,1,1,1,1070
"18",13,180,"095_Boot_Kreuzfahrtschiff","match",95,0,1,1,1494
"19",13,240,"080_Uhr_Armbanduhr","match",80,1,1,1,1115
"20",13,0,"008_Bildschirm_Desktop","mismatch",8,0,1,1,684
"21",13,120,"025_Glas_Weinglas","mismatch",25,1,1,0,649
"22",13,180,"051_Regal_Holzregal","mismatch",51,0,1,1,3108
"23",13,180,"061_Sitzbank_Baumbank","match",61,0,1,0,1336
"24",13,120,"030_Klavier_Keyboard","mismatch",30,0,1,0,864
"25",13,120,"098_Auto_Van","match",98,0,1,1,677
"26",13,180,"053_Regal_Wandregal","mismatch",53,0,1,1,882
"27",13,0,"029_Klavier_Fluegel","mismatch",29,0,1,0,984
"28",13,120,"036_Kaffeemaschine_Filterkaffeemaschine","mismatch",36,0,1,1,685
"29",13,0,"045_Lampe_Wandlampe","mismatch",45,0,1,0,3184
"30",13,0,"028_Wasserkocher_retroWasserkocher","mismatch",28,1,1,1,991
"31",13,0,"076_Tisch_Holztisch","match",76,0,1,1,624
"32",13,300,"066_Stuhl_Barstuhl","mismatch",66,1,1,1,2405
"33",13,240,"088_Flugzeug_Kampfflieger","match",88,0,1,1,1403
"34",13,180,"092_Boot_Ruderboot","match",92,1,1,0,597
"35",13,240,"003_Baum_Tanne","match",3,0,1,1,927
"36",13,120,"035_Kaffeemaschine_Espressomaschine","mismatch",35,0,1,1,1161
"37",13,240,"058_Sitzbank_Holzbank_mit_Lehne","mismatch",58,0,1,1,1627
"38",13,120,"012_Blume_Orchidee","match",12,1,1,1,1115
"39",13,180,"039_Wasserkocher_modernerWasserkocher","mismatch",39,1,1,1,1871
"40",13,60,"090_Flugzeug_Zweiteweltkriegsflieger","match",90,0,1,1,1449
"41",13,240,"091_Flugzeug_Segelflieger","match",91,0,1,1,1377
"42",13,60,"044_Lampe_Tischleuchte","mismatch",44,1,1,1,630
"43",13,300,"096_Auto_Oldtimer","match",96,0,1,1,945
"44",13,180,"037_Mixer_Standmixer","mismatch",37,1,1,1,713
"45",13,0,"007_Bett_Krankenhausbett","mismatch",7,0,1,1,1656
"46",13,240,"074_Telefon_Smartphone","match",74,1,1,0,1163
"47",13,60,"001_Baum_Bonsai","match",1,0,1,1,655
"48",13,0,"100_Besteck_Loeffel","match",100,1,1,1,717
"49",13,180,"024_Glas_Trinkglas","mismatch",24,1,1,1,914
"50",13,240,"042_Lampe_Stehlampe","mismatch",42,0,1,1,1694
"51",13,240,"085_Auto_Pickuptruck","match",85,0,1,1,1046
"52",13,180,"020_Drucker_Multifunktionsdrucker","mismatch",20,0,1,1,1065
"53",13,60,"005_Bett_Doppelbett","match",5,0,1,0,1226
"54",13,180,"072_Sessel_Ledersessel","match",72,0,1,1,562
"55",13,300,"004_Baum_Weide","mismatch",4,0,1,1,889
"56",13,120,"068_Stuhl_Holzstuhl","mismatch",68,1,1,1,962
"57",13,0,"041_Lampe_Schreibtischlampe","mismatch",41,1,1,1,2133
"58",13,180,"087_Auto_Panzer","match",87,0,1,0,1109
"59",13,120,"089_Eimer_Muelleimer","mismatch",89,1,1,1,651
"60",13,60,"011_Blume_Kaktus","match",11,0,1,1,894
"61",13,0,"059_Sitzbank_Holzbank_ohne_Lehne","mismatch",59,0,1,1,1365
"62",13,0,"065_Sofa_Zweiersofa","match",65,0,1,1,3030
"63",13,300,"019_Drucker_Heimdrucker","mismatch",19,0,1,1,989
"64",13,300,"067_Stuhl_Buerostuhl","mismatch",67,1,1,1,1347
"65",13,120,"084_Ventilator_Tischventilator","match",84,1,1,1,1056
"66",13,300,"057_Seife_Kernseife","match",57,1,1,1,1440
"67",13,120,"050_Nuss_Wallnuss","mismatch",50,1,1,1,980
"68",13,0,"082_Uhr_Wanduhr","mismatch",82,0,1,1,1310
"69",13,120,"016_Computer_Laptop","mismatch",16,1,1,1,1062
"70",13,300,"083_Ventilator_Standventilator","mismatch",83,0,1,1,768
"71",13,180,"052_Regal_Metallregal","match",52,0,1,0,601
"72",13,60,"047_Nuss_Erdnuss","mismatch",47,1,1,1,1162
"73",13,120,"018_Computer_Tablet","match",18,1,1,0,1062
"74",13,60,"015_Blume_Tulpen","mismatch",15,1,1,0,1392
"75",13,0,"023_Glas_Sektglas","mismatch",23,1,1,1,2557
"76",13,60,"049_Nuss_Pistazie","mismatch",49,1,1,1,1575
"77",13,60,"027_Kamera_Spiegelreflexkamera","mismatch",27,1,1,1,1368
"78",13,300,"021_Gitarre_Akustikgitarre","mismatch",21,1,1,1,1051
"79",13,120,"055_Schrank_Kleiderschrank","mismatch",55,0,1,0,597
"80",13,240,"097_Besteck_Gabel","mismatch",97,1,1,1,766
"81",13,120,"010_Blume_Gaenseblume","match",10,1,1,0,2168
"82",13,60,"033_Kopfhoerer_Muschelkopfhoerer","mismatch",33,1,1,1,742
"83",13,300,"031_Klavier_Pianino","mismatch",31,0,1,1,829
"84",13,0,"026_Kamera_Digitalkamera","match",26,1,1,0,1424
"85",13,240,"034_Korb_Waeschekorb","mismatch",34,1,1,1,711
"86",13,240,"013_Blume_Rosen","match",13,1,1,1,763
"87",13,180,"094_Boot_Segelschiff","mismatch",94,0,1,1,1147
"88",13,120,"081_Uhr_Digitaluhr","mismatch",81,1,1,1,1644
"89",13,180,"056_Seife_Fluessigseife","match",56,1,1,0,2469
"90",13,60,"046_Besteck_Messer","match",46,1,1,1,1666
"91",13,120,"002_Baum_Palme","mismatch",2,0,1,0,598
"92",13,120,"054_Schrank_Bueroschrank","match",54,0,1,0,843
"93",13,180,"062_Sofa_Dreiersofa","match",62,0,1,1,635
"94",13,60,"093_Boot_Kanu","mismatch",93,1,1,1,1340
"95",13,180,"071_Stuhl_Schreibtischstuhl","match",71,1,1,0,1340
"96",13,60,"079_Tisch_Schreibtisch","mismatch",79,0,1,0,1796
"97",13,180,"064_Sofa_Ledersofa","match",64,0,1,1,1350
"98",13,180,"032_Kopfhoerer_Earbudohrhoerer","mismatch",32,1,1,1,902
"99",13,180,"014_Blume_Sonnenblume","mismatch",14,1,1,1,2875
"100",13,240,"006_Bett_Einzelbett","mismatch",6,0,1,1,2386
"101",13,300,"024_Glas_Trinkglas","mismatch",24,1,2,1,2485
"102",13,60,"009_Bildschirm_Flachbildfernseher","mismatch",9,0,2,1,811
"103",13,120,"042_Lampe_Stehlampe","mismatch",42,0,2,1,720
"104",13,180,"015_Blume_Tulpen","match",15,1,2,1,518
"105",13,120,"075_Tisch_Etagentisch","match",75,0,2,0,973
"106",13,300,"023_Glas_Sektglas","mismatch",23,1,2,1,941
"107",13,60,"010_Blume_Gaenseblume","mismatch",10,1,2,1,1502
"108",13,180,"046_Besteck_Messer","mismatch",46,1,2,1,1458
"109",13,180,"001_Baum_Bonsai","mismatch",1,0,2,0,937
"110",13,120,"031_Klavier_Pianino","match",31,0,2,0,991
"111",13,240,"100_Besteck_Loeffel","match",100,1,2,1,1321
"112",13,120,"044_Lampe_Tischleuchte","match",44,1,2,1,917
"113",13,180,"022_Gitarre_Elektrogitarre","mismatch",22,1,2,1,1120
"114",13,60,"060_Sitzbank_Schaukelbank","match",60,0,2,1,1337
"115",13,240,"050_Nuss_Wallnuss","mismatch",50,1,2,1,722
"116",13,0,"018_Computer_Tablet","match",18,1,2,0,1830
"117",13,180,"025_Glas_Weinglas","mismatch",25,1,2,0,1939
"118",13,120,"064_Sofa_Ledersofa","mismatch",64,0,2,0,2051
"119",13,300,"045_Lampe_Wandlampe","mismatch",45,0,2,1,1958
"120",13,120,"096_Auto_Oldtimer","match",96,0,2,0,1892
"121",13,300,"026_Kamera_Digitalkamera","mismatch",26,1,2,1,3461
"122",13,240,"008_Bildschirm_Desktop","match",8,0,2,1,1213
"123",13,300,"007_Bett_Krankenhausbett","match",7,0,2,1,1468
"124",13,60,"036_Kaffeemaschine_Filterkaffeemaschine","mismatch",36,0,2,1,686
"125",13,60,"069_Stuhl_Rollstuhl","mismatch",69,1,2,1,800
"126",13,60,"066_Stuhl_Barstuhl","match",66,1,2,0,880
"127",13,240,"067_Stuhl_Buerostuhl","match",67,1,2,1,860
"128",13,0,"021_Gitarre_Akustikgitarre","match",21,1,2,0,2453
"129",13,120,"087_Auto_Panzer","match",87,0,2,1,915
"130",13,60,"012_Blume_Orchidee","match",12,1,2,1,856
"131",13,0,"052_Regal_Metallregal","match",52,0,2,1,1157
"132",13,300,"072_Sessel_Ledersessel","match",72,0,2,1,1669
"133",13,120,"027_Kamera_Spiegelreflexkamera","match",27,1,2,0,1245
"134",13,240,"005_Bett_Doppelbett","mismatch",5,0,2,0,899
"135",13,0,"043_Lampe_Strassenlaterne","match",43,0,2,0,1241
"136",13,120,"029_Klavier_Fluegel","match",29,0,2,1,710
"137",13,120,"053_Regal_Wandregal","match",53,0,2,1,1851
"138",13,300,"073_Telefon_Schnurtelefon","mismatch",73,1,2,1,1219
"139",13,180,"003_Baum_Tanne","mismatch",3,0,2,0,598
"140",13,120,"063_Sofa_Ecksofa","match",63,0,2,1,1325
"141",13,0,"013_Blume_Rosen","match",13,1,2,1,1179
"142",13,180,"041_Lampe_Schreibtischlampe","match",41,1,2,1,1256
"143",13,300,"070_Stuhl_Schalenstuhl","mismatch",70,1,2,0,1823
"144",13,0,"048_Nuss_Mandel","mismatch",48,1,2,1,637
"145",13,60,"034_Korb_Waeschekorb","match",34,1,2,0,2360
"146",13,240,"017_Computer_PC","mismatch",17,0,2,1,1777
"147",13,300,"081_Uhr_Digitaluhr","match",81,1,2,1,878
"148",13,60,"083_Ventilator_Standventilator","mismatch",83,0,2,1,740
"149",13,180,"076_Tisch_Holztisch","mismatch",76,0,2,1,697
"150",13,120,"088_Flugzeug_Kampfflieger","mismatch",88,0,2,1,2567
"151",13,180,"057_Seife_Kernseife","mismatch",57,1,2,0,1324
"152",13,0,"071_Stuhl_Schreibtischstuhl","mismatch",71,1,2,0,1333
"153",13,300,"028_Wasserkocher_retroWasserkocher","match",28,1,2,0,674
"154",13,120,"094_Boot_Segelschiff","mismatch",94,0,2,0,1387
"155",13,60,"004_Baum_Weide","match",4,0,2,1,1272
"156",13,240,"016_Computer_Laptop","match",16,1,2,1,1859
"157",13,0,"020_Drucker_Multifunktionsdrucker","match",20,0,2,0,1492
"158",13,300,"092_Boot_Ruderboot","mismatch",92,1,2,1,1425
"159",13,180,"097_Besteck_Gabel","mismatch",97,1,2,1,2238
"160",13,180,"002_Baum_Palme","match",2,0,2,1,506
"161",13,300,"065_Sofa_Zweiersofa","mismatch",65,0,2,1,2222
"162",13,240,"059_Sitzbank_Holzbank_ohne_Lehne","match",59,0,2,1,3220
"163",13,180,"082_Uhr_Wanduhr","match",82,0,2,0,2066
