"","X","acc","accuracy","average_response_time","avg_rt","background","basic","bidi","block","canvas_backend","clock_backend","color_backend","compensation","coordinates","correct","correct_Instructions","correct_Respond","correct_Respond0","correct_end_of_practice","correct_response","count_Blank","count_Blank0","count_Cue","count_Cue0","count_Experiment","count_Feedback","count_Feedback0","count_Fix","count_Fix0","count_Instructions","count_Logg","count_Respond","count_Respond0","count_Show","count_Show0","count_end_of_experiment","count_end_of_practice","count_experimental_loop","count_experimental_trials","count_new_sketchpad","count_new_sketchpad_1","count_new_sketchpad_2","count_new_sketchpad_3","count_new_sketchpad_4","count_practice_loop","count_practice_trials","count_read_table","count_trial_list","cue","datetime","description","disable_garbage_collection","experiment_file","experiment_path","font_bold","font_family","font_italic","font_size","font_underline","foreground","form_clicks","fullscreen","height","image","imagename","imgID","imgName","keyboard_backend","live_row","live_row_experimental_loop","live_row_practice_loop","logfile","match","matching","mouse_backend","movable","num","opensesame_codename","opensesame_version","practice","repeat_cycle","response","response_Instructions","response_Respond","response_Respond0","response_end_of_experiment","response_end_of_practice","response_new_sketchpad","response_new_sketchpad_1","response_new_sketchpad_2","response_new_sketchpad_3","response_new_sketchpad_4","response_time","response_time_Instructions","response_time_Respond","response_time_Respond0","response_time_end_of_experiment","response_time_end_of_practice","response_time_new_sketchpad","response_time_new_sketchpad_1","response_time_new_sketchpad_2","response_time_new_sketchpad_3","response_time_new_sketchpad_4","rotation","round_decimals","sampler_backend","sound_buf_size","sound_channels","sound_freq","sound_sample_size","start","sub","subject_nr","subject_parity","subordinate","superordinate","time_Blank","time_Blank0","time_Cue","time_Cue0","time_Experiment","time_Feedback","time_Feedback0","time_Fix","time_Fix0","time_Instructions","time_Logg","time_Respond","time_Respond0","time_Show","time_Show0","time_end_of_experiment","time_end_of_practice","time_experimental_loop","time_experimental_trials","time_new_sketchpad","time_new_sketchpad_1","time_new_sketchpad_2","time_new_sketchpad_3","time_new_sketchpad_4","time_practice_loop","time_practice_trials","time_read_table","time_trial_list","title","total_correct","total_response_time","total_responses","trial","trialNum","uniform_coordinates","width"
"1",1,100,100,549.5,549.5,"#cacaca","Glas","no",1,"legacy","legacy","legacy",0,"uniform",1,"undefined",1,1,0,"c",0,2,0,2,0,0,2,0,2,0,0,0,2,0,2,0,0,0,0,NA,NA,NA,NA,NA,0,2,0,0,"Glas","04/12/18 15:00:35","The main experiment item","yes","ViewpointInvarianceExp1greyscale.osexp","C:\Users\Admin\Desktop\ViewpointInvarianceExp1greyscale_Kallmayer","no","mono","no",18,"no","white","no","yes",768,"Hammer","025_Glas_Weinglas",25,"025_Glas_Weinglas_60","legacy",0,0,2,"C:/Users/Admin/Desktop/ViewpointInvarianceExp1greyscale_Kallmayer/Rohdaten/24.csv","match","mismatch","legacy",1,25,"Jazzy James","3.1.6","no",0,"c","space","c","m",NA,"space",NA,NA,NA,NA,NA,719,97403,719,490,NA,64728,NA,NA,NA,NA,NA,60,2,"legacy",1024,2,48000,-16,"Experiment",24,24,"even","Weinglas","Trinkgefaess",174813,107035,173312,105534,1486,NA,NA,172811,105033,1487,176034,175314,107536,175314,107536,NA,108034,172763,172810,NA,NA,NA,NA,NA,98891,105032,1486,172810,"ViewpointInvarianceExp1",4,2198,4,0,1,"yes",1024
"2",2,100,100,533,533,"#cacaca","Drucker","no",1,"legacy","legacy","legacy",0,"uniform",1,"undefined",1,1,0,"c",1,2,1,2,0,1,2,1,2,0,1,1,2,1,2,0,0,0,1,NA,NA,NA,NA,NA,0,2,0,1,"Drucker","04/12/18 15:00:35","The main experiment item","yes","ViewpointInvarianceExp1greyscale.osexp","C:\Users\Admin\Desktop\ViewpointInvarianceExp1greyscale_Kallmayer","no","mono","no",18,"no","white","no","yes",768,"Hammer","019_Drucker_Heimdrucker",19,"019_Drucker_Heimdrucker_300","legacy",1,1,2,"C:/Users/Admin/Desktop/ViewpointInvarianceExp1greyscale_Kallmayer/Rohdaten/24.csv","match","mismatch","legacy",0,19,"Jazzy James","3.1.6","no",0,"c","space","c","m",NA,"space",NA,NA,NA,NA,NA,467,97403,467,490,NA,64728,NA,NA,NA,NA,NA,300,2,"legacy",1024,2,48000,-16,"Experiment",24,24,"even","Heimdrucker","Geraet",178153,107035,176652,105534,1486,NA,NA,176151,105033,1487,179122,178654,107536,178654,107536,NA,108034,172763,176150,NA,NA,NA,NA,NA,98891,105032,1486,176150,"ViewpointInvarianceExp1",5,2665,5,1,2,"yes",1024
"3",3,100,100,525,525,"#cacaca","Boot","no",1,"legacy","legacy","legacy",0,"uniform",1,"undefined",1,1,0,"m",2,2,2,2,0,2,2,2,2,0,2,2,2,2,2,0,0,0,2,NA,NA,NA,NA,NA,0,2,0,2,"Schrank","04/12/18 15:00:35","The main experiment item","yes","ViewpointInvarianceExp1greyscale.osexp","C:\Users\Admin\Desktop\ViewpointInvarianceExp1greyscale_Kallmayer","no","mono","no",18,"no","white","no","yes",768,"Hammer","095_Boot_Kreuzfahrtschiff",95,"095_Boot_Kreuzfahrtschiff_300","legacy",2,2,2,"C:/Users/Admin/Desktop/ViewpointInvarianceExp1greyscale_Kallmayer/Rohdaten/24.csv","mismatch","mismatch","legacy",0,95,"Jazzy James","3.1.6","no",0,"m","space","m","m",NA,"space",NA,NA,NA,NA,NA,485,97403,485,490,NA,64728,NA,NA,NA,NA,NA,300,2,"legacy",1024,2,48000,-16,"Experiment",24,24,"even","Kreuzfahrtschiff","Fahrzeug",181247,107035,179746,105534,1486,NA,NA,179245,105033,1487,182234,181748,107536,181748,107536,NA,108034,172763,179243,NA,NA,NA,NA,NA,98891,105032,1486,179243,"ViewpointInvarianceExp1",6,3150,6,2,3,"yes",1024
"4",4,100,100,521.571428571,521.571428571,"#cacaca","Computer","no",1,"legacy","legacy","legacy",0,"uniform",1,"undefined",1,1,0,"m",3,2,3,2,0,3,2,3,2,0,3,3,2,3,2,0,0,0,3,NA,NA,NA,NA,NA,0,2,0,3,"Glas","04/12/18 15:00:35","The main experiment item","yes","ViewpointInvarianceExp1greyscale.osexp","C:\Users\Admin\Desktop\ViewpointInvarianceExp1greyscale_Kallmayer","no","mono","no",18,"no","white","no","yes",768,"Hammer","017_Computer_PC",17,"017_Computer_PC_60","legacy",3,3,2,"C:/Users/Admin/Desktop/ViewpointInvarianceExp1greyscale_Kallmayer/Rohdaten/24.csv","mismatch","mismatch","legacy",0,17,"Jazzy James","3.1.6","no",0,"m","space","m","m",NA,"space",NA,NA,NA,NA,NA,501,97403,501,490,NA,64728,NA,NA,NA,NA,NA,60,2,"legacy",1024,2,48000,-16,"Experiment",24,24,"even","PC","Geraet",184367,107035,182866,105534,1486,NA,NA,182365,105033,1487,185370,184868,107536,184868,107536,NA,108034,172763,182364,NA,NA,NA,NA,NA,98891,105032,1486,182364,"ViewpointInvarianceExp1",7,3651,7,3,4,"yes",1024
"5",5,87.5,87.5,540.5,540.5,"#cacaca","Uhr","no",1,"legacy","legacy","legacy",0,"uniform",0,"undefined",0,1,0,"c",4,2,4,2,0,4,2,4,2,0,4,4,2,4,2,0,0,0,4,NA,NA,NA,NA,NA,0,2,0,4,"Uhr","04/12/18 15:00:35","The main experiment item","yes","ViewpointInvarianceExp1greyscale.osexp","C:\Users\Admin\Desktop\ViewpointInvarianceExp1greyscale_Kallmayer","no","mono","no",18,"no","white","no","yes",768,"Hammer","082_Uhr_Wanduhr",82,"082_Uhr_Wanduhr_180","legacy",4,4,2,"C:/Users/Admin/Desktop/ViewpointInvarianceExp1greyscale_Kallmayer/Rohdaten/24.csv","match","mismatch","legacy",0,82,"Jazzy James","3.1.6","no",0,"m","space","m","m",NA,"space",NA,NA,NA,NA,NA,673,97403,673,490,NA,64728,NA,NA,NA,NA,NA,180,2,"legacy",1024,2,48000,-16,"Experiment",24,24,"even","Wanduhr","Geraet",187468,107035,185967,105534,1486,188643,NA,185466,105033,1487,189393,187969,107536,187969,107536,NA,108034,172763,185465,NA,NA,NA,NA,NA,98891,105032,1486,185465,"ViewpointInvarianceExp1",7,4324,8,4,5,"yes",1024
"6",6,88.8888888889,88.8888888889,538.111111111,538.111111111,"#cacaca","Bildschirm","no",1,"legacy","legacy","legacy",0,"uniform",1,"undefined",1,1,0,"m",5,2,5,2,0,5,2,5,2,0,5,5,2,5,2,0,0,0,5,NA,NA,NA,NA,NA,0,2,0,5,"Boot","04/12/18 15:00:35","The main experiment item","yes","ViewpointInvarianceExp1greyscale.osexp","C:\Users\Admin\Desktop\ViewpointInvarianceExp1greyscale_Kallmayer","no","mono","no",18,"no","white","no","yes",768,"Hammer","009_Bildschirm_Flachbildfernseher",9,"009_Bildschirm_Flachbildfernseher_180","legacy",5,5,2,"C:/Users/Admin/Desktop/ViewpointInvarianceExp1greyscale_Kallmayer/Rohdaten/24.csv","mismatch","mismatch","legacy",0,9,"Jazzy James","3.1.6","no",0,"m","space","m","m",NA,"space",NA,NA,NA,NA,NA,519,97403,519,490,NA,64728,NA,NA,NA,NA,NA,180,2,"legacy",1024,2,48000,-16,"Experiment",24,24,"even","Flachbildfernseher","Geraet",191510,107035,190009,105534,1486,188643,NA,189508,105033,1487,192530,192011,107536,192011,107536,NA,108034,172763,189507,NA,NA,NA,NA,NA,98891,105032,1486,189507,"ViewpointInvarianceExp1",8,4843,9,5,6,"yes",1024
"7",7,90,90,534.6,534.6,"#cacaca","Auto","no",1,"legacy","legacy","legacy",0,"uniform",1,"undefined",1,1,0,"c",6,2,6,2,0,6,2,6,2,0,6,6,2,6,2,0,0,0,6,NA,NA,NA,NA,NA,0,2,0,6,"Auto","04/12/18 15:00:35","The main experiment item","yes","ViewpointInvarianceExp1greyscale.osexp","C:\Users\Admin\Desktop\ViewpointInvarianceExp1greyscale_Kallmayer","no","mono","no",18,"no","white","no","yes",768,"Hammer","086_Auto_Polizeiauto",86,"086_Auto_Polizeiauto_180","legacy",6,6,2,"C:/Users/Admin/Desktop/ViewpointInvarianceExp1greyscale_Kallmayer/Rohdaten/24.csv","match","mismatch","legacy",0,86,"Jazzy James","3.1.6","no",0,"c","space","c","m",NA,"space",NA,NA,NA,NA,NA,503,97403,503,490,NA,64728,NA,NA,NA,NA,NA,180,2,"legacy",1024,2,48000,-16,"Experiment",24,24,"even","Polizeiauto","Fahrzeug",194629,107035,193128,105534,1486,188643,NA,192627,105033,1487,195634,195130,107536,195130,107536,NA,108034,172763,192626,NA,NA,NA,NA,NA,98891,105032,1486,192626,"ViewpointInvarianceExp1",9,5346,10,6,7,"yes",1024
"8",8,90.9090909091,90.9090909091,545.909090909,545.909090909,"#cacaca","Blume","no",1,"legacy","legacy","legacy",0,"uniform",1,"undefined",1,1,0,"c",7,2,7,2,0,7,2,7,2,0,7,7,2,7,2,0,0,0,7,NA,NA,NA,NA,NA,0,2,0,7,"Blume","04/12/18 15:00:35","The main experiment item","yes","ViewpointInvarianceExp1greyscale.osexp","C:\Users\Admin\Desktop\ViewpointInvarianceExp1greyscale_Kallmayer","no","mono","no",18,"no","white","no","yes",768,"Hammer","011_Blume_Kaktus",11,"011_Blume_Kaktus_240","legacy",7,7,2,"C:/Users/Admin/Desktop/ViewpointInvarianceExp1greyscale_Kallmayer/Rohdaten/24.csv","match","mismatch","legacy",0,11,"Jazzy James","3.1.6","no",0,"c","space","c","m",NA,"space",NA,NA,NA,NA,NA,659,97403,659,490,NA,64728,NA,NA,NA,NA,NA,240,2,"legacy",1024,2,48000,-16,"Experiment",24,24,"even","Kaktus","Pflanze",197722,107035,196221,105534,1486,188643,NA,195720,105033,1487,198882,198223,107536,198223,107536,NA,108034,172763,195718,NA,NA,NA,NA,NA,98891,105032,1486,195719,"ViewpointInvarianceExp1",10,6005,11,7,8,"yes",1024
"9",9,91.6666666667,91.6666666667,556.75,556.75,"#cacaca","Tisch","no",1,"legacy","legacy","legacy",0,"uniform",1,"undefined",1,1,0,"m",8,2,8,2,0,8,2,8,2,0,8,8,2,8,2,0,0,0,8,NA,NA,NA,NA,NA,0,2,0,8,"Auto","04/12/18 15:00:35","The main experiment item","yes","ViewpointInvarianceExp1greyscale.osexp","C:\Users\Admin\Desktop\ViewpointInvarianceExp1greyscale_Kallmayer","no","mono","no",18,"no","white","no","yes",768,"Hammer","079_Tisch_Schreibtisch",79,"079_Tisch_Schreibtisch_120","legacy",8,8,2,"C:/Users/Admin/Desktop/ViewpointInvarianceExp1greyscale_Kallmayer/Rohdaten/24.csv","mismatch","mismatch","legacy",0,79,"Jazzy James","3.1.6","no",0,"m","space","m","m",NA,"space",NA,NA,NA,NA,NA,676,97403,676,490,NA,64728,NA,NA,NA,NA,NA,120,2,"legacy",1024,2,48000,-16,"Experiment",24,24,"even","Schreibtisch","Moebel",200993,107035,199492,105534,1486,188643,NA,198991,105033,1487,202170,201494,107536,201494,107536,NA,108034,172763,198990,NA,NA,NA,NA,NA,98891,105032,1486,198990,"ViewpointInvarianceExp1",11,6681,12,8,9,"yes",1024
"10",10,92.3076923077,92.3076923077,555.076923077,555.076923077,"#cacaca","Blume","no",1,"legacy","legacy","legacy",0,"uniform",1,"undefined",1,1,0,"c",9,2,9,2,0,9,2,9,2,0,9,9,2,9,2,0,0,0,9,NA,NA,NA,NA,NA,0,2,0,9,"Blume","04/12/18 15:00:35","The main experiment item","yes","ViewpointInvarianceExp1greyscale.osexp","C:\Users\Admin\Desktop\ViewpointInvarianceExp1greyscale_Kallmayer","no","mono","no",18,"no","white","no","yes",768,"Hammer","013_Blume_Rosen",13,"013_Blume_Rosen_60","legacy",9,9,2,"C:/Users/Admin/Desktop/ViewpointInvarianceExp1greyscale_Kallmayer/Rohdaten/24.csv","match","mismatch","legacy",1,13,"Jazzy James","3.1.6","no",0,"c","space","c","m",NA,"space",NA,NA,NA,NA,NA,535,97403,535,490,NA,64728,NA,NA,NA,NA,NA,60,2,"legacy",1024,2,48000,-16,"Experiment",24,24,"even","Rosen","Pflanze",204269,107035,202768,105534,1486,188643,NA,202267,105033,1487,205306,204770,107536,204770,107536,NA,108034,172763,202266,NA,NA,NA,NA,NA,98891,105032,1486,202266,"ViewpointInvarianceExp1",12,7216,13,9,10,"yes",1024
