"","sub","consistency","rotation","imgID","imagename","movable","correct","response_time","log_RT"
"1",1,"con","noncanon",104,"104_Fahrradstaender",1,1,2243,7.71556953452021
"2",1,"incon","canon",76,"076_Tisch_Holztisch",0,1,1942,7.57147364885127
"3",1,"con","canon",66,"066_Stuhl_Barstuhl",1,1,1495,7.30988148582479
"4",1,"con","canon",13,"013_Blume_Rosen",1,1,2561,7.84815308619953
"5",1,"con","noncanon",32,"032_Kopfhoerer_Earbudohrhoerer",1,1,1285,7.15851399732932
"6",1,"con","noncanon",15,"015_Blume_Tulpen",1,1,1740,7.46164039220858
"7",1,"con","noncanon",16,"016_Computer_Laptop",1,1,1277,7.15226885603254
"8",1,"con","canon",110,"110_Tretauto",1,1,1259,7.13807303404435
"9",1,"incon","canon",102,"102_Bett_Kinderbett",1,1,818,6.70686233660275
"10",1,"con","canon",112,"112_Wanne_Badewanne",0,1,969,6.87626461189077
"11",1,"con","noncanon",114,"114_Brokkoli",1,1,1331,7.19368581839511
"12",1,"con","noncanon",62,"062_Sofa_Dreiersofa",0,1,1011,6.91869521902047
"13",1,"incon","canon",82,"082_Schaukelpferd",1,1,796,6.67959918584438
"14",1,"con","canon",113,"113_Brezel",1,1,631,6.44730586254121
"15",1,"incon","noncanon",105,"105_Geschenk",0,1,1007,6.91473089271856
"16",1,"con","canon",25,"025_Glas_Weinglas",1,1,783,6.6631326959908
"17",1,"incon","canon",43,"043_Lampe_Strassenlaterne",0,1,1338,7.19893124068817
"18",1,"con","noncanon",7,"007_Bett_Krankenhausbett",0,1,1601,7.37838371299671
"19",1,"con","canon",58,"058_Sitzbank_Holzbank_mit_Lehne",0,1,2160,7.67786350067821
"20",1,"con","noncanon",109,"109_Router",1,1,1039,6.94601399109923
"21",1,"con","noncanon",111,"111_Wagen_Einkaufswagen",1,1,1210,7.09837563859079
"22",1,"incon","canon",28,"028_Wasserkocher_retroWasserkocher",1,1,1087,6.99117688712121
"23",1,"incon","canon",78,"078_Tisch_Sofatisch",0,1,1898,7.54855597916987
"24",1,"incon","noncanon",27,"027_Kamera_Spiegelreflexkamera",1,1,704,6.55677835615804
"25",1,"incon","noncanon",101,"101_Becken_Waschbecken",0,1,1745,7.46450983463653
"27",1,"con","noncanon",42,"042_Lampe_Stehlampe",0,1,716,6.57368016696065
"28",1,"incon","noncanon",119,"119_Paprika",1,1,665,6.49978704065585
