"","a","acc","accuracy","average_response_time","avg_rt","background","basic","bidi","canvas_backend","clock_backend","color_backend","compensation","consistency","coordinates","correct","correct_Instructions","correct_Respond","correct_Respond0","correct_end_of_practice","correct_response","count_Blank","count_Blank0","count_Cue","count_Cue0","count_Experiment","count_Feedback","count_Feedback0","count_Fix","count_Fix0","count_Instructions","count_Logg","count_Respond","count_Respond0","count_Show","count_Show0","count_end_of_experiment","count_end_of_practice","count_experimental_loop","count_experimental_trials","count_practice_loop","count_practice_trials","count_preview","count_preview_1","count_read_table","count_trial_list","cue","datetime","description","disable_garbage_collection","experiment_file","experiment_path","font_bold","font_family","font_italic","font_size","font_underline","foreground","form_clicks","fullscreen","height","image","imagename","imgID","imgrot","keyboard_backend","live_row","live_row_experimental_loop","live_row_practice_loop","logfile","matching","matchx","mouse_backend","movable","opensesame_codename","opensesame_version","practice","repeat_cycle","response","response_Instructions","response_Respond","response_Respond0","response_end_of_experiment","response_end_of_practice","response_time","response_time_Instructions","response_time_Respond","response_time_Respond0","response_time_end_of_experiment","response_time_end_of_practice","rotation","round_decimals","sampler_backend","sound_buf_size","sound_channels","sound_freq","sound_sample_size","start","sub","subject_nr","subject_parity","subordinate","superordinate","time_Blank","time_Blank0","time_Cue","time_Cue0","time_Experiment","time_Feedback","time_Feedback0","time_Fix","time_Fix0","time_Instructions","time_Logg","time_Respond","time_Respond0","time_Show","time_Show0","time_end_of_experiment","time_end_of_practice","time_experimental_loop","time_experimental_trials","time_practice_loop","time_practice_trials","time_preview","time_preview_1","time_read_table","time_trial_list","title","total_correct","total_response_time","total_responses","trial","trialNum","uniform_coordinates","width"
"1","garage",75,75,591.5,591.5,"#cacaca","Moerser","no","legacy","legacy","legacy",0,"background","uniform",1,"undefined",1,1,0,"m",0,2,0,2,0,0,2,0,2,0,0,0,2,0,2,0,0,0,0,0,2,2,0,0,0,"MP3player","06/04/18 18:29:22","The main experiment item","yes","ViewpointInvarianceExp2.osexp","C:\Users\Admin\Desktop\ExPra_Kallmayer","no","mono","no",18,"no","white","no","yes",768,"Hammer","145_Moerser",145,120,"legacy",0,0,2,"C:/Users/Admin/Desktop/ExPra_Kallmayer/Rohdaten/21.csv","mismatch","mismatch","legacy",NA,"Jazzy James","3.1.6","no",0,"m","space","m","m",NA,"space",685,100738,685,584,NA,26209,"no",2,"legacy",1024,2,48000,-16,"Experiment",21,21,"odd","","Moebel",141315,111628,139814,110127,1218,NA,105223,139313,109626,1220,142902,142217,112430,142117,112430,NA,113021,139230,139312,101958,109624,112129,141816,1219,139312,"ViewpointInvarianceExp1",3,2366,4,0,1,"yes",1024
"2","garage",60,60,566.8,566.8,"#cacaca","Tisch","no","legacy","legacy","legacy",0,"incon","uniform",0,"undefined",0,1,0,"c",1,2,1,2,0,1,2,1,2,0,1,1,2,1,2,0,0,0,1,0,2,2,1,0,1,"Tisch","06/04/18 18:29:22","The main experiment item","yes","ViewpointInvarianceExp2.osexp","C:\Users\Admin\Desktop\ExPra_Kallmayer","no","mono","no",18,"no","white","no","yes",768,"Hammer","078_Tisch_Sofatisch",78,120,"legacy",1,1,2,"C:/Users/Admin/Desktop/ExPra_Kallmayer/Rohdaten/21.csv","mismatch","match","legacy",0,"Jazzy James","3.1.6","no",0,"m","space","m","m",NA,"space",468,100738,468,584,NA,26209,"noncanon",2,"legacy",1024,2,48000,-16,"Experiment",21,21,"odd","Sofatisch","Moebel",145076,111628,143575,110127,1218,146447,105223,143074,109626,1220,147197,145978,112430,145878,112430,NA,113021,139230,143072,101958,109624,112129,145577,1219,143073,"ViewpointInvarianceExp1",3,2834,5,1,2,"yes",1024
"3","garage",66.6666666667,66.6666666667,542.833333333,542.833333333,"#cacaca","Wippe","no","legacy","legacy","legacy",0,"con","uniform",1,"undefined",1,1,0,"c",2,2,2,2,0,2,2,2,2,0,2,2,2,2,2,0,0,0,2,0,2,2,2,0,2,"Wippe","06/04/18 18:29:22","The main experiment item","yes","ViewpointInvarianceExp2.osexp","C:\Users\Admin\Desktop\ExPra_Kallmayer","no","mono","no",18,"no","white","no","yes",768,"Hammer","030_Wippe",30,0,"legacy",2,2,2,"C:/Users/Admin/Desktop/ExPra_Kallmayer/Rohdaten/21.csv","mismatch","match","legacy",0,"Jazzy James","3.1.6","no",0,"c","space","c","m",NA,"space",423,100738,423,584,NA,26209,"canon",2,"legacy",1024,2,48000,-16,"Experiment",21,21,"odd","","Spielzeug",149377,111628,147876,110127,1218,146447,105223,147374,109626,1220,150702,150279,112430,150179,112430,NA,113021,139230,147373,101958,109624,112129,149878,1219,147373,"ViewpointInvarianceExp1",4,3257,6,2,3,"yes",1024
"4","garage",71.4285714286,71.4285714286,551,551,"#cacaca","Zeitung","no","legacy","legacy","legacy",0,"background","uniform",1,"undefined",1,1,0,"m",3,2,3,2,0,3,2,3,2,0,3,3,2,3,2,0,0,0,3,0,2,2,3,0,3,"Ofen","06/04/18 18:29:22","The main experiment item","yes","ViewpointInvarianceExp2.osexp","C:\Users\Admin\Desktop\ExPra_Kallmayer","no","mono","no",18,"no","white","no","yes",768,"Hammer","156_Zeitung",156,120,"legacy",3,3,2,"C:/Users/Admin/Desktop/ExPra_Kallmayer/Rohdaten/21.csv","mismatch","mismatch","legacy",NA,"Jazzy James","3.1.6","no",0,"m","space","m","m",NA,"space",600,100738,600,584,NA,26209,"no",2,"legacy",1024,2,48000,-16,"Experiment",21,21,"odd","","Speichermedium",152824,111628,151323,110127,1218,146447,105223,150822,109626,1220,154326,153726,112430,153626,112430,NA,113021,139230,150821,101958,109624,112129,153325,1219,150821,"ViewpointInvarianceExp1",5,3857,7,3,4,"yes",1024
"5","garage",62.5,62.5,558,558,"#cacaca","Sofa","no","legacy","legacy","legacy",0,"con","uniform",0,"undefined",0,1,0,"c",4,2,4,2,0,4,2,4,2,0,4,4,2,4,2,0,0,0,4,0,2,2,4,0,4,"Sofa","06/04/18 18:29:22","The main experiment item","yes","ViewpointInvarianceExp2.osexp","C:\Users\Admin\Desktop\ExPra_Kallmayer","no","mono","no",18,"no","white","no","yes",768,"Hammer","063_Sofa_Ecksofa",63,120,"legacy",4,4,2,"C:/Users/Admin/Desktop/ExPra_Kallmayer/Rohdaten/21.csv","mismatch","match","legacy",0,"Jazzy James","3.1.6","no",0,"m","space","m","m",NA,"space",607,100738,607,584,NA,26209,"noncanon",2,"legacy",1024,2,48000,-16,"Experiment",21,21,"odd","Ecksofa","Moebel",156489,111628,154988,110127,1218,157999,105223,154487,109626,1220,158749,157391,112430,157291,112430,NA,113021,139230,154486,101958,109624,112129,156990,1219,154486,"ViewpointInvarianceExp1",5,4464,8,4,5,"yes",1024
"6","garage",66.6666666667,66.6666666667,537.666666667,537.666666667,"#cacaca","Auto","no","legacy","legacy","legacy",0,"incon","uniform",1,"undefined",1,1,0,"c",5,2,5,2,0,5,2,5,2,0,5,5,2,5,2,0,0,0,5,0,2,2,5,0,5,"Auto","06/04/18 18:29:22","The main experiment item","yes","ViewpointInvarianceExp2.osexp","C:\Users\Admin\Desktop\ExPra_Kallmayer","no","mono","no",18,"no","white","no","yes",768,"Hammer","096_Auto_Oldtimer",96,0,"legacy",5,5,2,"C:/Users/Admin/Desktop/ExPra_Kallmayer/Rohdaten/21.csv","mismatch","match","legacy",0,"Jazzy James","3.1.6","no",0,"c","space","c","m",NA,"space",375,100738,375,584,NA,26209,"canon",2,"legacy",1024,2,48000,-16,"Experiment",21,21,"odd","Oldtimer","Fahrzeug",160921,111628,159420,110127,1218,157999,105223,158919,109626,1220,162198,161823,112430,161723,112430,NA,113021,139230,158918,101958,109624,112129,161422,1219,158918,"ViewpointInvarianceExp1",6,4839,9,5,6,"yes",1024
"7","garage",70,70,564,564,"#cacaca","Stuhl","no","legacy","legacy","legacy",0,"con","uniform",1,"undefined",1,1,0,"c",6,2,6,2,0,6,2,6,2,0,6,6,2,6,2,0,0,0,6,0,2,2,6,0,6,"Stuhl","06/04/18 18:29:22","The main experiment item","yes","ViewpointInvarianceExp2.osexp","C:\Users\Admin\Desktop\ExPra_Kallmayer","no","mono","no",18,"no","white","no","yes",768,"Hammer","066_Stuhl_Barstuhl",66,120,"legacy",6,6,2,"C:/Users/Admin/Desktop/ExPra_Kallmayer/Rohdaten/21.csv","mismatch","match","legacy",1,"Jazzy James","3.1.6","no",0,"c","space","c","m",NA,"space",801,100738,801,584,NA,26209,"noncanon",2,"legacy",1024,2,48000,-16,"Experiment",21,21,"odd","Barstuhl","Moebel",164335,111628,162834,110127,1218,157999,105223,162332,109626,1220,166038,165237,112430,165137,112430,NA,113021,139230,162331,101958,109624,112129,164836,1219,162331,"ViewpointInvarianceExp1",7,5640,10,6,7,"yes",1024
"8","garage",72.7272727273,72.7272727273,561.818181818,561.818181818,"#cacaca","Ventilator","no","legacy","legacy","legacy",0,"con","uniform",1,"undefined",1,1,0,"c",7,2,7,2,0,7,2,7,2,0,7,7,2,7,2,0,0,0,7,0,2,2,7,0,7,"Ventilator","06/04/18 18:29:22","The main experiment item","yes","ViewpointInvarianceExp2.osexp","C:\Users\Admin\Desktop\ExPra_Kallmayer","no","mono","no",18,"no","white","no","yes",768,"Hammer","083_Ventilator_Standventilator",83,120,"legacy",7,7,2,"C:/Users/Admin/Desktop/ExPra_Kallmayer/Rohdaten/21.csv","mismatch","match","legacy",0,"Jazzy James","3.1.6","no",0,"c","space","c","m",NA,"space",540,100738,540,584,NA,26209,"noncanon",2,"legacy",1024,2,48000,-16,"Experiment",21,21,"odd","Standventilator","Geraet",168212,111628,166711,110127,1218,157999,105223,166210,109626,1220,169654,169114,112430,169014,112430,NA,113021,139230,166209,101958,109624,112129,168713,1219,166209,"ViewpointInvarianceExp1",8,6180,11,7,8,"yes",1024
"9","garage",75,75,560.833333333,560.833333333,"#cacaca","Kopfhoerer","no","legacy","legacy","legacy",0,"con","uniform",1,"undefined",1,1,0,"c",8,2,8,2,0,8,2,8,2,0,8,8,2,8,2,0,0,0,8,0,2,2,8,0,8,"Kopfhoerer","06/04/18 18:29:22","The main experiment item","yes","ViewpointInvarianceExp2.osexp","C:\Users\Admin\Desktop\ExPra_Kallmayer","no","mono","no",18,"no","white","no","yes",768,"Hammer","032_Kopfhoerer_Earbudohrhoerer",32,120,"legacy",8,8,2,"C:/Users/Admin/Desktop/ExPra_Kallmayer/Rohdaten/21.csv","mismatch","match","legacy",1,"Jazzy James","3.1.6","no",0,"c","space","c","m",NA,"space",550,100738,550,584,NA,26209,"noncanon",2,"legacy",1024,2,48000,-16,"Experiment",21,21,"odd","Earbudohrhoerer","Geraet",171785,111628,170284,110127,1218,157999,105223,169783,109626,1220,173238,172687,112430,172587,112430,NA,113021,139230,169781,101958,109624,112129,172286,1219,169782,"ViewpointInvarianceExp1",9,6730,12,8,9,"yes",1024
"10","garage",69.2307692308,69.2307692308,573.923076923,573.923076923,"#cacaca","Waage","no","legacy","legacy","legacy",0,"background","uniform",0,"undefined",0,1,0,"m",9,2,9,2,0,9,2,9,2,0,9,9,2,9,2,0,0,0,9,0,2,2,9,0,9,"Wanne","06/04/18 18:29:22","The main experiment item","yes","ViewpointInvarianceExp2.osexp","C:\Users\Admin\Desktop\ExPra_Kallmayer","no","mono","no",18,"no","white","no","yes",768,"Hammer","155_Waage",155,120,"legacy",9,9,2,"C:/Users/Admin/Desktop/ExPra_Kallmayer/Rohdaten/21.csv","mismatch","mismatch","legacy",NA,"Jazzy James","3.1.6","no",0,"c","space","c","m",NA,"space",731,100738,731,584,NA,26209,"no",2,"legacy",1024,2,48000,-16,"Experiment",21,21,"odd","","Geraet",175357,111628,173856,110127,1218,176991,105223,173355,109626,1220,177741,176259,112430,176159,112430,NA,113021,139230,173354,101958,109624,112129,175858,1219,173354,"ViewpointInvarianceExp1",9,7461,13,9,10,"yes",1024
